tipo_informe,seccion,criterio,pregunta,texto,score,justificacion,model_name,pipeline_version,criteria_version,timestamp
institucional,Resumen Ejecutivo,Estructura,"¿El IEI 2023 contiene una sección en donde se sintetiza el avance en la implementación de las AEI, conclusiones y recomendaciones obtenidos en la evaluación?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones es claro (se entiende al leerla)?",,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones muestra coherencia en su presentación?",,2,La conexión entre los resultados obtenidos y las recomendaciones futuras podría estar mejor articuladas.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se describe la misión de la entidad y las principales prioridades de su política institucional?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se presenta la priorización realizada en el paso de delimitación del alcance de la evaluación?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La descripción de la misión de la entidad y las prioridades de la política institucional es clara y coherente?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La priorización en la delimitación del alcance de la evaluación es clara y coherente?,,4,Criterio: ruta estrátegica y menciona que considera todo menos los indicadores con propuesta de reemplazo o retiro.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Estructura,¿El IEI 2023 contiene los principales resultados de cada uno de sus OEI?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es claro (se entiende al leerla)?,,4,Presenta resultado general y por cada OEI. Buena redacción y usa tablas.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es coherente con la misión y prioridad institucional de la entidad?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Pertinencia,¿El análisis de los resultados de cada objetivo estratégico es pertinente para alcanzar los resultados misionales de la entidad (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,2,Casi no se desarrolla la explicación de factores en la mayoría de casos.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Estructura,"¿El IEI 2023 contiene una sección en la que se analiza los OEI priorizados por su nivel crítico de resultados, en relación con sus AEI?",,1,Presenta sección a pesar de no presentar priorización.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Claridad y coherencia,¿El análisis de resultados de los OEI priorizados es claro (se entiende al leerla)?,,2,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Claridad y coherencia,¿El análisis de resultados de los OEI priorizados por su nivel crítico es coherente en relación con sus AEI?,,0,"Identifica y menciona que se analizará OEI críticos pero termina desarrollando todos los OEI. Por otro lado, no vincula AEI con su OEI.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Pertinencia,¿El análisis de los OEI priorizados es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,1,"No se analiza los resultados de indicadores o avances físico de las AEI ni realiza una explicaciín de sus factorers, solo menciona las no implementadas. Por otro lado, si menciona, en la mayoría de casos, una explicación de la no implemtación de las AEI resaltadas. ",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Estructura,¿El IEI 2023 contiene una sección en la que se analiza el nivel de avance en la implementación de todas las AEI?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Claridad y coherencia,¿El análisis de la implementación de todas las AEI es claro (se entiende al leerla)?,,2,La estructura de la sección no permite entender la información.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Claridad y coherencia,¿El análisis de resultados de las AEI es coherente en relación con sus indicadores y AO e inversiones?,,2,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Pertinencia,¿El análisis de la implementación de todas las AEI es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,3,En la mayoría de casos si se detallan factores y limitantes.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de la implementación de las AEI de los OEI priorizados?,,0,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Claridad y coherencia,¿El análisis de la implementación de las AEI de los OEI priorizados es claro (se entiende al leerla)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Claridad y coherencia,¿El análisis de implementación de las AEI de los OEI priorizados es coherente (hay un hilo conductor entre las AEI y los OEI)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Pertinencia,¿El análisis de la implementación de las AEI de los OEI priorizados es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de los productos a través de los cuales se concretan las AEI críticas?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Claridad y coherencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es claro (se entiende al leerla)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Claridad y coherencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es coherente (hay una correcta vinculación entre los productos y las AEI)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Pertinencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,0,No se presenta la sección.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de la ejecución operativa en las AEI críticas,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de las AO e inversiones de las AEI críticas?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de la ejecución operativa en las AEI críticas,Claridad y coherencia,¿El análisis de implementación de las actividades operativas de las AEI críticas es claro (se entiende al leerla)?,,1,Se identifica AEI crítica y se presenta hallazgos de inversiones con bajo cumpliiento en una tabla,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de la ejecución operativa en las AEI críticas,Claridad y coherencia,¿El análisis de implementación de las AO e inversiones de las AEI críticas es coherente (hay un hilo conductor entre las AO y AEI)?,,0,"Se centra en presentar las inversiones críticas, mas no detalla cuales son más relevantes o como su implemntación se vincula con el AEI.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de la ejecución operativa en las AEI críticas,Pertinencia,¿El análisis de implementación de las AEI críticas es pertinente con el avance de sus AO e inversiones (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,0,Solo muestra el nivel de cumplimiento de las inversiones y una explicación general de las limitaciones.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Aplicación de las recomendaciones para mejorar la implementación de las AEI,Estructura,¿El IEI 2023 contiene una sección en donde se describe la aplicación de las recomendaciones obtenidas de la última evaluación semestral?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Aplicación de las recomendaciones para mejorar la implementación de las AEI,Claridad y coherencia,¿La descripción de la forma en la que se han aplicado las recomendaciones de la última evaluación semestral es clara (se entiende al leerla)?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Aplicación de las recomendaciones para mejorar la implementación de las AEI,Claridad y coherencia,¿La descripción de la forma en la que se han aplicado las recomendaciones de la última evaluación semestral es coherente (hay relación entre las recomendaciones aplicadas y los resultados obtenidos)?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Conclusiones,Estructura,"¿El IEI 2023 contiene una sección en donde se aborda, a través de juicios de valor, el logro alcanzado en los OEI y sus aprendizajes?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Conclusiones,Claridad y coherencia,¿El desarrollo de las conclusiones respecto de los logros en los OEI y sus aprendizajes es claro (se entiende al leerla)?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Conclusiones,Claridad y coherencia,¿El desarrollo de las conclusiones respecto de los logros en los OEI y sus aprendizajes es coherente (hay relación entre lo desarrollado en el informe y las conclusiones a las que se llega)?,,2,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Conclusiones,Pertinencia,¿El desarrollo de las conclusiones respecto de los logros en los OEI y sus aprendizajes es pertinente (sintetiza los principales hallazgos del informe de evaluación)?,,2,Falto considerar la falta de información en varios de los indicadores de OEI y AEI.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Recomendaciones,Estructura,¿El IEI 2023 contiene una sección en donde se abordan medidas preventivas y correctivas para garantizar el logro de los resultados de los OEI en el siguiente periodo de implementación del PEI?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Recomendaciones,Claridad y coherencia,¿El desarrollo de las medidas preventivas y correctivas para garantizar el logro de los resultados de los OEI es claro (se entiende al leerla)?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Recomendaciones,Claridad y coherencia,¿El desarrollo de las medidas preventivas y correctivas para garantizar el logro de los resultados de los OEI es coherente (hay relación entre los hallazgos y las recomendaciones establecidas)?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Recomendaciones,Pertinencia,"¿El desarrollo de las recomendaciones es pertinente considerando elementos como: aspectos de mejora, unidades orgánicas responsables y plazos?",,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Anexos,Estructura,"¿El IEI 2023 contiene una sección en donde se presentan la matriz de compromisos, el reporte de seguimiento del PEI/POI?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Estructura,"¿El IEI 2023 contiene una sección en donde se sintetiza el avance en la implementación de las AEI, conclusiones y recomendaciones obtenidos en la evaluación?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones es claro (se entiende al leerla)?",,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Resumen Ejecutivo,Claridad y coherencia,"¿La síntesis del avance de implementación de las AEI, conclusiones y recomendaciones muestra coherencia en su presentación?",,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se describe la misión de la entidad y las principales prioridades de su política institucional?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Estructura,¿El IEI 2023 contiene una sección en la que se presenta la priorización realizada en el paso de delimitación del alcance de la evaluación?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La descripción de la misión de la entidad y las prioridades de la política institucional es clara y coherente?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Prioridades de la política institucional,Claridad y coherencia,¿La priorización en la delimitación del alcance de la evaluación es clara y coherente?,,3,Criterio: ruta estratégica. No menciona explicitamente que los priorizados son los 5 primeros OEI,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Estructura,¿El IEI 2023 contiene los principales resultados de cada uno de sus OEI?,,1,No menciona explicitamente que los priorizados son los 5 primeros OEI,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es claro (se entiende al leerla)?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Claridad y coherencia,¿El análisis de resultados de los OEI es coherente con la misión y prioridad institucional de la entidad?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de resultados de los objetivos estratégicos institucionales (OEI),Pertinencia,¿El análisis de los resultados de cada objetivo estratégico es pertinente para alcanzar los resultados misionales de la entidad (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,2,"Menciona resultado, pero algunos OEI no contienen análisis de los factores o llimitaciones. No realiza análisis general de las AEI vinculadas.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Estructura,"¿El IEI 2023 contiene una sección en la que se analiza los OEI priorizados por su nivel crítico de resultados, en relación con sus AEI?",,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Claridad y coherencia,¿El análisis de resultados de los OEI priorizados es claro (se entiende al leerla)?,,2,Se mejoraría con el uso de tablas o gráficos.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Claridad y coherencia,¿El análisis de resultados de los OEI priorizados por su nivel crítico es coherente en relación con sus AEI?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Diagnóstico sobre los OEI priorizados con bajo nivel de cumplimiento,Pertinencia,¿El análisis de los OEI priorizados es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,1,"Se debió centrar en el OEI 06 de menor avance. En el análisis, se presentan resultados generales. Si bien se establecen oportunidades de mejora no se establece en qué AEI.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Estructura,¿El IEI 2023 contiene una sección en la que se analiza el nivel de avance en la implementación de todas las AEI?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Claridad y coherencia,¿El análisis de la implementación de todas las AEI es claro (se entiende al leerla)?,,4,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Claridad y coherencia,¿El análisis de resultados de las AEI es coherente en relación con sus indicadores y AO e inversiones?,,2,Realiza el análisis considerando indicadores y no AO e inversiones.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las acciones estratégicas institucionales (AEI),Pertinencia,¿El análisis de la implementación de todas las AEI es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,2,"Se menciona hallazgos, pero en la mayoría de casos no se explican los factores ni limitantes.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de la implementación de las AEI de los OEI priorizados?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Claridad y coherencia,¿El análisis de la implementación de las AEI de los OEI priorizados es claro (se entiende al leerla)?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Claridad y coherencia,¿El análisis de implementación de las AEI de los OEI priorizados es coherente (hay un hilo conductor entre las AEI y los OEI)?,,3,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de implementación de las AEI de los OEI priorizados,Pertinencia,¿El análisis de la implementación de las AEI de los OEI priorizados es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,4,"Describe resultados, factores y limitantes, así como alcance de la medición.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de los productos a través de los cuales se concretan las AEI críticas?,,1,No tiene una sección explicita pero se desarrolla dentro de la sección previa.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Claridad y coherencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es claro (se entiende al leerla)?,,2,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Claridad y coherencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es coherente (hay una correcta vinculación entre los productos y las AEI)?,,2,No se centra solo en las AEI críticas.,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de los productos de la AEI,Pertinencia,¿El análisis de implementación de los productos a través de los cuáles se concretan las AEI críticas es pertinente (detalla los principales hallazgos y factores que influyeron en su cumplimiento)?,,3,"Describe los producto y servicios, resultados y comentarios de beneficiarios. Sin embargo, no se centra en las AEI críticas.",gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
institucional,Análisis de la ejecución operativa en las AEI críticas,Estructura,¿El IEI 2023 contiene una sección en donde se aborda el análisis de las AO e inversiones de las AEI críticas?,,1,Evaluación omitida por calidad insuficiente del prompt (0.65).,gpt-4o-mini,0.1.0,2024.1,2025-10-27T08:24:54.327944
